                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     23,                  1.005,                0.14004,                 1.2806,                 1.4325,                0.50165,                0.63261,                0.51837,                0.32941,                0.50165,                0.63261,                0.51837,                0.32445,                 1.2813,               0.089778,                 1.5809,                 1.7661,               0.007822,               0.007822,               0.007822
                     24,                 0.9799,                0.14531,                 1.2736,                 1.3989,                0.48968,                0.67277,                0.69252,                0.49987,                0.48968,                0.67277,                0.69252,                0.48978,                 1.1765,               0.079345,                  1.241,                 1.7628,               0.007723,               0.007723,               0.007723
                     25,                0.99174,                0.13899,                 1.2509,                 1.4416,                0.55892,                0.66678,                0.65465,                0.42168,                0.55892,                0.66678,                0.65294,                0.40963,                 1.1149,               0.078878,                 1.4396,                  1.681,               0.007624,               0.007624,               0.007624
                     26,                0.95134,                0.11789,                 1.1878,                 1.3746,                 0.5383,                0.60438,                0.61439,                0.42435,                 0.5383,                0.60438,                0.61439,                0.42405,                 1.1494,               0.080001,                 1.5106,                 1.7016,               0.007525,               0.007525,               0.007525
                     27,                0.91204,                0.13482,                 1.1164,                  1.343,                0.71208,                0.57688,                0.71759,                0.49329,                0.71208,                0.57688,                0.71759,                0.48728,                 1.1368,               0.084249,                 1.1623,                 1.6724,               0.007426,               0.007426,               0.007426
                     28,                0.86752,                0.12482,                 1.0979,                 1.3125,                0.68746,                0.61079,                0.72527,                0.50857,                0.68746,                0.61079,                0.72527,                0.49949,                 1.0733,               0.080096,                 1.1782,                 1.6211,               0.007327,               0.007327,               0.007327
                     29,                0.92133,                0.12952,                 1.1008,                  1.356,                0.80803,                0.65578,                0.74302,                 0.5075,                0.80803,                0.65578,                0.74302,                0.51334,                 1.0576,               0.083143,                 1.0875,                 1.6106,               0.007228,               0.007228,               0.007228
                     30,                0.85887,                0.12863,                 1.0371,                 1.3117,                0.47376,                0.80298,                0.67917,                0.46554,                0.47376,                0.80298,                0.67917,                0.44846,                 1.1648,                0.07652,                  1.131,                 1.8016,               0.007129,               0.007129,               0.007129
                     31,                0.90227,                0.13871,                 1.1144,                 1.3442,                0.64332,                0.68133,                0.71451,                0.48607,                0.63583,                0.67376,                 0.7078,                0.47589,                  1.083,               0.085697,                 1.2063,                 1.6116,                0.00703,                0.00703,                0.00703
                     32,                0.86517,                0.13198,                 1.0197,                 1.2882,                0.69098,                 0.5982,                0.66466,                0.47699,                0.68407,                0.59063,                0.66006,                 0.4769,                 1.0231,               0.080961,                 1.2699,                 1.4738,               0.006931,               0.006931,               0.006931
